epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9318,1.6256,4.36489,1.49405,0,0,0,0,1.49529,4.48639,1.44259,2.499e-05,2.499e-05,2.499e-05
2,81.4222,1.56997,4.29262,1.44504,0,0,0,0,1.42537,4.46187,1.38977,5.28873e-05,5.28873e-05,5.28873e-05
3,116.699,1.48847,4.10067,1.38273,0.04762,0.00292,0.02527,0.01606,1.39028,4.4341,1.34738,8.00778e-05,8.00778e-05,8.00778e-05
4,152.394,1.51412,3.85793,1.38667,0.02998,0.03304,0.03436,0.02437,1.38821,4.34902,1.33183,0.000106561,0.000106561,0.000106561
5,190.788,1.43003,3.61649,1.35091,0.06659,0.08252,0.08126,0.05301,1.42806,4.17881,1.34172,0.000132338,0.000132338,0.000132338
6,240.539,1.42664,3.42863,1.37039,0.06054,0.23695,0.15587,0.10924,1.51195,3.99521,1.37228,0.000157408,0.000157408,0.000157408
7,283.984,1.43141,3.0125,1.33926,0.07351,0.27924,0.19634,0.12602,1.5535,3.85571,1.39815,0.000181771,0.000181771,0.000181771
8,324.772,1.42332,2.91068,1.31915,0.8075,0.11419,0.21432,0.13046,1.58,3.68104,1.44231,0.000205427,0.000205427,0.000205427
9,366.188,1.33772,2.76349,1.2858,0.79503,0.14351,0.28328,0.16767,1.57538,3.47728,1.48116,0.000228376,0.000228376,0.000228376
10,405.875,1.34703,2.56043,1.32797,0.83084,0.16724,0.30425,0.17777,1.61285,3.36553,1.50815,0.000250619,0.000250619,0.000250619
11,449.483,1.37767,2.34656,1.31235,0.89007,0.17419,0.35101,0.2158,1.61109,3.18034,1.5109,0.000272154,0.000272154,0.000272154
12,493.344,1.30772,2.30833,1.2688,0.7314,0.21034,0.39336,0.22847,1.62781,3.03907,1.51384,0.000292983,0.000292983,0.000292983
13,536.037,1.3574,2.08471,1.30482,0.73011,0.32663,0.40287,0.22828,1.63831,2.87824,1.54755,0.000303986,0.000303986,0.000303986
14,580.471,1.33011,2.0104,1.28042,0.73429,0.30618,0.40404,0.23345,1.65273,2.79166,1.58352,0.000299568,0.000299568,0.000299568
15,627.714,1.32284,1.90398,1.29934,0.75377,0.29454,0.41371,0.23991,1.63847,2.66739,1.56775,0.00029515,0.00029515,0.00029515
16,672.969,1.31324,1.89825,1.27656,0.50393,0.38069,0.44492,0.28145,1.61931,2.48004,1.54131,0.000290732,0.000290732,0.000290732
17,721.047,1.31529,1.80814,1.25653,0.65245,0.46396,0.51992,0.3152,1.61333,2.40639,1.52522,0.000286314,0.000286314,0.000286314
18,767.803,1.33652,1.69903,1.29049,0.63408,0.45361,0.50568,0.30426,1.62952,2.34907,1.564,0.000281896,0.000281896,0.000281896
19,815.737,1.26764,1.67375,1.26485,0.51355,0.49101,0.48647,0.28246,1.65554,2.31628,1.59034,0.000277478,0.000277478,0.000277478
20,866.457,1.2159,1.71447,1.28535,0.49959,0.47867,0.50604,0.31467,1.66087,2.19463,1.56195,0.00027306,0.00027306,0.00027306
21,916.139,1.27944,1.63192,1.22139,0.59995,0.45518,0.53085,0.31972,1.62399,2.08645,1.51934,0.000268642,0.000268642,0.000268642
22,965.673,1.22678,1.58057,1.23861,0.62182,0.48041,0.52552,0.31984,1.63876,2.10517,1.51917,0.000264225,0.000264225,0.000264225
23,1019.07,1.2352,1.58422,1.24956,0.62956,0.45743,0.54321,0.31724,1.62092,2.0835,1.51677,0.000259807,0.000259807,0.000259807
24,1071.24,1.16163,1.46554,1.19614,0.63533,0.50656,0.55562,0.33019,1.63024,2.05991,1.52834,0.000255389,0.000255389,0.000255389
25,1130.86,1.17883,1.42079,1.19229,0.67832,0.51995,0.56761,0.33287,1.65538,2.04347,1.52678,0.000250971,0.000250971,0.000250971
26,1188.9,1.15659,1.42245,1.22104,0.61725,0.51068,0.57151,0.33773,1.65818,2.05077,1.5237,0.000246553,0.000246553,0.000246553
27,1247.25,1.16236,1.38463,1.1896,0.53077,0.56268,0.57597,0.33581,1.65846,2.08381,1.52994,0.000242135,0.000242135,0.000242135
28,1303.5,1.21636,1.35658,1.19105,0.52755,0.5573,0.56139,0.32948,1.66495,2.08085,1.55378,0.000237717,0.000237717,0.000237717
29,1358.32,1.17136,1.2915,1.16406,0.54674,0.54772,0.56535,0.3388,1.66367,2.1691,1.55535,0.000233299,0.000233299,0.000233299
30,1407.02,1.09823,1.2885,1.15516,0.58055,0.5089,0.56524,0.33485,1.69439,2.19978,1.5879,0.000228882,0.000228882,0.000228882
31,1455.02,1.11668,1.29379,1.14818,0.48743,0.52807,0.5537,0.32814,1.72171,2.17633,1.6066,0.000224464,0.000224464,0.000224464
32,1508.18,1.12021,1.30146,1.1608,0.55863,0.54655,0.57387,0.33278,1.68427,2.07275,1.57058,0.000220046,0.000220046,0.000220046
33,1562.23,1.1001,1.28465,1.13763,0.57697,0.53788,0.56793,0.33456,1.68422,2.01091,1.55412,0.000215628,0.000215628,0.000215628
34,1616.28,1.09358,1.26901,1.09623,0.57145,0.58646,0.57483,0.32789,1.67681,2.00398,1.55127,0.00021121,0.00021121,0.00021121
35,1669.53,1.03379,1.19667,1.11995,0.58225,0.59817,0.58192,0.33638,1.67898,1.99122,1.54983,0.000206792,0.000206792,0.000206792
36,1723.55,1.08936,1.21283,1.10991,0.57668,0.51614,0.57268,0.33252,1.66643,1.98146,1.53299,0.000202374,0.000202374,0.000202374
37,1777.59,1.013,1.1853,1.11487,0.58997,0.51852,0.5714,0.34325,1.65276,1.97986,1.53901,0.000197957,0.000197957,0.000197957
38,1831.18,1.00242,1.17549,1.11325,0.71173,0.46529,0.58148,0.34254,1.66569,2.02271,1.57923,0.000193539,0.000193539,0.000193539
39,1879.53,1.03264,1.19103,1.09851,0.68788,0.49107,0.58987,0.34291,1.66082,1.97963,1.56647,0.000189121,0.000189121,0.000189121
40,1923.62,1.05414,1.10512,1.12211,0.71885,0.52239,0.61321,0.34476,1.68534,1.9708,1.58307,0.000184703,0.000184703,0.000184703
41,1969.98,1.01054,1.1519,1.10821,0.6553,0.54963,0.61552,0.34473,1.70205,2.01885,1.57857,0.000180285,0.000180285,0.000180285
42,2017.56,0.94263,1.14969,1.08219,0.59386,0.57349,0.60439,0.33823,1.68608,2.0195,1.5671,0.000175867,0.000175867,0.000175867
43,2070.43,1.03524,1.11198,1.09629,0.59474,0.54296,0.59012,0.33784,1.69527,2.00172,1.58711,0.000171449,0.000171449,0.000171449
44,2121.06,0.9357,1.13233,1.08739,0.55425,0.54701,0.59587,0.3413,1.69546,1.97934,1.59427,0.000167031,0.000167031,0.000167031
45,2180.22,0.99033,1.07699,1.08678,0.63929,0.51391,0.60392,0.34897,1.70253,1.98263,1.58708,0.000162613,0.000162613,0.000162613
46,2232.24,0.94982,1.12613,1.08424,0.63269,0.52054,0.56535,0.33089,1.69005,2.007,1.56307,0.000158196,0.000158196,0.000158196
47,2277.9,1.03444,1.16486,1.14016,0.54332,0.54269,0.56349,0.32739,1.69605,2.09441,1.57096,0.000153778,0.000153778,0.000153778
48,2320.52,1.00714,1.09608,1.08158,0.56972,0.55517,0.57213,0.33019,1.6751,2.12943,1.56677,0.00014936,0.00014936,0.00014936
49,2361.83,0.95101,1.10683,1.09108,0.57808,0.58405,0.57996,0.33684,1.63547,2.09641,1.54103,0.000144942,0.000144942,0.000144942
50,2404.56,0.95955,1.09729,1.08591,0.54767,0.58714,0.57686,0.33494,1.62661,2.04199,1.54236,0.000140524,0.000140524,0.000140524
51,2514.87,0.97107,1.16675,1.10047,0.56908,0.56464,0.58761,0.33831,1.63533,2.01875,1.54925,0.000136106,0.000136106,0.000136106
52,2550.81,0.95319,1.06926,1.07701,0.61481,0.54512,0.57956,0.34371,1.62908,2.047,1.54122,0.000131688,0.000131688,0.000131688
53,2591.26,0.96585,1.04819,1.08028,0.65515,0.52701,0.58633,0.35069,1.60988,2.03499,1.51872,0.000127271,0.000127271,0.000127271
54,2647.82,0.922,1.07083,1.06043,0.65088,0.52982,0.5986,0.35905,1.60906,1.98853,1.51849,0.000122853,0.000122853,0.000122853
55,2696.81,0.95376,1.0724,1.09558,0.62833,0.52605,0.59429,0.35489,1.62108,1.99906,1.51959,0.000118435,0.000118435,0.000118435
56,2744.55,0.98669,1.06616,1.08088,0.62291,0.52177,0.60363,0.35345,1.64428,2.00465,1.54081,0.000114017,0.000114017,0.000114017
57,2788.9,0.90421,0.98447,1.05975,0.64267,0.50776,0.59073,0.34512,1.64447,1.98431,1.54125,0.000109599,0.000109599,0.000109599
58,2833.94,0.91855,1.01011,1.05084,0.57999,0.53365,0.59544,0.34471,1.65852,1.93757,1.55866,0.000105181,0.000105181,0.000105181
59,2878.34,0.95124,1.03192,1.07369,0.67783,0.50574,0.58652,0.33262,1.65934,1.94305,1.57076,0.000100763,0.000100763,0.000100763
60,2924.65,0.93821,0.99771,1.0409,0.62956,0.50083,0.58173,0.33591,1.68224,1.95452,1.59657,9.63454e-05,9.63454e-05,9.63454e-05
61,2967.08,0.89982,0.96739,1.05114,0.69858,0.49535,0.58701,0.33829,1.68499,1.97114,1.60095,9.19275e-05,9.19275e-05,9.19275e-05
62,3008.95,0.91001,1.01404,1.07293,0.69962,0.49129,0.57995,0.33726,1.68852,1.97745,1.6075,8.75096e-05,8.75096e-05,8.75096e-05
63,3050.19,0.86472,0.96274,1.04159,0.54178,0.58052,0.58015,0.34302,1.67887,1.99185,1.59793,8.30917e-05,8.30917e-05,8.30917e-05
64,3091.48,0.91054,0.98576,1.05298,0.58414,0.56606,0.59158,0.34849,1.66935,1.98938,1.5893,7.86739e-05,7.86739e-05,7.86739e-05
